"VIC_ESCOLARIDAD","VIC_EST_CIV","VIC_TRABAJA","AGR_TRABAJA","AGR_ESCOLARIDAD","AGR_EST_CIV"
10,1,2,2,29,1
22,1,2,2,22,1
23,1,2,1,99,1
26,1,2,2,26,1
26,1,2,2,99,1
29,1,2,1,29,1
29,1,2,1,10,1
29,1,2,2,49,1
33,1,2,2,10,1
33,1,2,9,99,1
49,1,2,2,52,1
99,1,2,9,99,1
10,2,2,2,10,1
10,2,2,1,26,1
10,2,2,1,26,1
10,2,2,2,26,1
23,2,2,1,46,1
33,2,2,1,33,1
33,2,2,1,32,1
33,2,2,1,99,1
39,2,2,2,39,1
49,2,2,1,39,1
49,2,2,1,49,1
29,3,2,1,29,1
99,3,2,2,26,1
10,9,2,2,49,1
39,9,2,2,39,1
46,3,1,2,46,1
45,1,1,2,46,1
29,1,1,2,29,1
23,1,1,1,26,1
23,1,1,1,26,1
24,2,1,1,32,1
39,2,1,1,39,1
21,3,1,2,45,1
29,9,1,1,39,1
26,2,1,1,45,1
23,2,1,2,26,1
26,2,1,9,33,1
33,2,1,2,33,1
33,2,1,2,26,1
39,3,1,1,99,1
33,2,1,2,33,1
39,2,1,9,99,1
10,1,1,1,44,1
29,2,1,1,29,1
29,1,1,1,22,1
46,1,1,1,46,1
49,9,1,9,99,1
23,3,2,1,45,1
10,1,2,2,39,1
33,1,2,2,39,1
10,2,2,2,10,1
10,3,2,1,24,1
46,2,1,1,33,1
26,2,1,1,26,1
10,9,1,1,99,1
10,1,2,2,10,1
29,1,2,1,29,1
33,1,2,2,44,1
39,1,2,2,39,1
23,2,2,1,22,1
24,2,2,1,32,1
26,2,2,2,33,1
26,2,2,1,10,1
25,3,2,1,26,1
10,9,2,1,26,1
46,2,1,1,46,1
33,1,1,2,31,1
29,2,1,9,99,1
33,1,1,1,10,1
NA,NA,NA,2,33,1
NA,NA,NA,2,33,1
22,1,2,1,33,1
23,1,2,2,26,1
25,1,2,1,22,1
26,1,2,2,26,1
26,1,2,2,26,1
32,1,2,1,33,1
33,1,2,1,32,1
39,1,2,1,99,1
39,1,2,2,39,1
10,2,2,1,29,1
10,2,2,2,10,1
23,2,2,2,33,1
26,2,2,2,33,1
26,2,2,1,33,1
33,2,2,2,33,1
33,2,2,2,26,1
39,2,2,1,49,1
49,2,2,2,49,1
49,2,2,2,49,1
23,3,2,1,26,1
26,3,2,2,46,1
10,9,2,2,29,1
10,9,2,1,26,1
10,9,2,1,33,1
10,9,2,2,31,1
26,9,2,2,46,1
29,9,2,2,29,1
46,9,2,2,33,1
59,1,1,2,49,1
46,1,1,2,23,1
46,2,1,1,26,1
22,2,1,1,22,1
29,1,1,1,39,1
25,2,1,2,45,1
33,2,1,1,25,1
25,2,1,2,22,1
26,3,1,1,33,1
10,2,1,1,33,1
26,1,1,2,26,1
26,2,1,1,26,1
10,1,1,1,10,1
99,1,1,1,99,1
10,2,1,1,26,1
26,2,1,1,39,1
26,2,1,1,10,1
10,2,1,1,52,1
46,1,1,1,46,1
49,2,2,1,32,2
29,2,9,1,29,2
29,2,2,1,26,2
29,2,2,1,46,2
33,9,1,1,44,2
10,2,1,2,10,2
32,2,2,1,33,2
26,1,2,1,33,2
10,2,2,2,46,2
10,2,2,1,10,2
26,2,2,1,33,2
26,2,2,9,26,2
26,2,2,1,26,2
33,2,2,1,21,2
33,2,2,1,33,2
46,2,2,9,46,2
49,2,2,1,33,2
99,2,2,1,99,2
39,9,2,1,29,2
49,2,1,2,39,2
33,2,1,2,33,2
99,2,1,1,99,2
10,2,1,2,99,2
45,2,1,1,49,2
33,2,1,2,26,2
26,2,1,1,33,2
10,2,1,2,10,2
46,2,1,2,33,2
46,1,9,9,46,2
46,2,1,2,46,2
49,2,2,1,39,2
29,2,2,1,29,2
39,2,2,1,39,2
53,2,2,2,26,2
10,2,2,1,22,2
24,2,2,2,26,2
29,2,2,1,29,2
29,2,2,1,39,2
29,2,2,1,99,2
32,2,2,1,32,2
33,2,2,1,33,2
44,2,2,1,26,2
45,2,2,1,99,2
46,2,2,1,46,2
59,2,2,1,29,2
46,2,1,2,32,2
26,9,1,2,25,2
46,2,1,1,44,2
24,9,1,1,46,2
46,2,1,2,44,2
33,2,1,2,33,2
33,1,1,1,33,2
29,3,2,2,29,3
44,3,2,2,44,3
29,9,2,1,29,3
29,3,1,2,39,3
39,3,1,2,39,3
49,3,1,1,39,3
10,3,1,1,26,3
45,3,1,1,26,3
23,3,1,2,23,3
26,3,2,1,26,3
33,3,2,1,33,3
26,3,1,2,26,3
21,1,2,2,24,3
33,3,2,1,26,3
33,3,2,1,32,3
26,2,2,2,26,3
10,1,2,9,99,3
10,1,2,2,10,3
23,1,2,1,22,3
29,1,2,1,29,3
10,2,2,2,10,3
49,2,2,2,49,3
10,3,2,1,10,3
10,3,2,1,26,3
22,3,2,1,22,3
23,3,2,2,23,3
24,3,2,1,26,3
26,3,2,1,26,3
26,3,2,1,26,3
29,3,2,2,29,3
29,3,2,1,29,3
29,3,2,1,29,3
29,3,2,1,29,3
29,3,2,9,39,3
32,3,2,1,23,3
39,3,2,1,39,3
39,3,2,1,29,3
44,3,2,1,33,3
